Gust1(5.7Hz),z/s=0.025,z/s=0.075,z/s=0.125,z/s=0.175,z/s=0.225,z/s=0.275,z/s=0.325,z/s=0.375,z/s=0.425,z/s=0.475,z/s=0.525,z/s=0.575,z/s=0.625,z/s=0.675,z/s=0.725,z/s=0.775,z/s=0.825,z/s=0.875,z/s=0.925,z/s=0.975
0.37941,0.338101670829617,0.382357808357287,0.45840555370489,0.507920775120379,0.536463866648583,0.545710133748831,0.556218677761137,0.558625474631496,0.553163836426991,0.551383836023945,0.539505680183262,0.512765420479466,0.502588123780209,0.492999970658885,0.479133693860337,0.460655791184115,0.428495213114923,0.391953839053352,0.340795777103594,NaN
0.41941,0.381559976726404,0.387150351082294,0.442799050568237,0.482877567316235,0.502709751476687,0.515120633347092,0.521725865112436,0.526473244636348,0.523023498777401,0.5236856697525,0.511160576723795,0.484429377913176,0.476779953646588,0.468056337189401,0.450807360674864,0.428105374188913,0.402212145812717,0.365865335646755,0.31631785689878,NaN
0.45941,0.387379253920109,0.389795451778362,0.429265138401759,0.458940352749571,0.468444871048003,0.483555777486848,0.493740898813021,0.492869560442063,0.485493806898762,0.491602908695077,0.477570186478284,0.453038065863444,0.447074428507106,0.436808668882727,0.420358220160657,0.397769413082483,0.378043867105569,0.340390325343712,0.295613649393696,NaN
0.49941,0.321311181968234,0.365339751729391,0.397004368517592,0.418113285304399,0.425846759069524,0.446431147530924,0.456390603451219,0.452686531423206,0.443820367666771,0.447372571863536,0.435871725222826,0.418614371195146,0.415771700285643,0.401365594153771,0.388638993369652,0.37128075128046,0.353243236847308,0.31844627353502,0.277622842314015,NaN
0.53941,0.282512851827166,0.331528885637886,0.363538199803434,0.377977525980391,0.386826878154116,0.403913809560934,0.413090899281858,0.405220687991255,0.403571511569592,0.393084175180263,0.395739390226989,0.382459689548938,0.385502107019357,0.372659358796978,0.356175361156658,0.344763070897467,0.324428455938031,0.294685993336453,0.252619688849443,NaN
0.57941,0.26783552415497,0.300042573682712,0.336879185523367,0.3490670932097,0.354183105556509,0.367607958971714,0.378477819620088,0.367146600593064,0.36822808174665,0.356454749682141,0.360027365554214,0.349961306243369,0.356321355242313,0.341054627268306,0.327449126539663,0.316274720859042,0.296173282680267,0.271168491327992,0.233209187532202,NaN
0.61941,0.26791794955977,0.269215220637005,0.310554609019148,0.317010465612379,0.321185677132306,0.33537096837658,0.345849877331784,0.339070812687258,0.337664119924749,0.333355933612541,0.330184147416942,0.320151095568065,0.328716702819713,0.310245691936454,0.306408315781352,0.292261611871865,0.274031883446106,0.252889220679522,0.222588986009512,NaN
0.65941,0.263170343547147,0.261160143010233,0.288099853125481,0.28642543380312,0.283092533829046,0.302365280413083,0.312754157131915,0.311512085514481,0.310416004081107,0.30942711259092,0.306380281165564,0.295181853421495,0.307551484365909,0.29492037831256,0.287238784928561,0.278498151062021,0.258996543369658,0.241907509682833,0.214525399848704,NaN
0.69941,0.264343867945077,0.264035492253089,0.270472280153911,0.265479879365925,0.252327369445771,0.273982307549954,0.287041719114317,0.288700682692815,0.289080536539323,0.293018732059824,0.287261625102397,0.278816404370538,0.28860168740236,0.285732068438817,0.273024823187137,0.266088008321006,0.249789111869076,0.23262643903985,0.205117798457207,NaN
0.73941,0.26761857143176,0.278393945979064,0.262852871279133,0.253286919415738,0.24638451732968,0.260554702816761,0.272341716247158,0.273332175271399,0.276978828649287,0.282075199887281,0.27742506801526,0.268938265158341,0.280442588847125,0.274472681104232,0.266270544903822,0.256794858541724,0.246380812122113,0.225836341760623,0.19702510917271,NaN
0.77941,0.290111921362918,0.297150955537951,0.273033532368366,0.257913803840012,0.252105261442401,0.261275522741923,0.2724779010667,0.271664648758834,0.277192824214355,0.285546832730848,0.276829360331386,0.268492237303976,0.283491121881738,0.274464958553696,0.269193767322747,0.261899823088663,0.247634158145041,0.229858326461483,0.197326432642645,NaN
0.81941,0.307892287312206,0.297704829216722,0.279014901705162,0.263633503211296,0.25573050168676,0.272402341259606,0.283441959466691,0.281188116167274,0.288021168610417,0.296308274934988,0.290243013689122,0.282796207695788,0.294828249643605,0.287510175131861,0.280700294893386,0.27402294126135,0.262346977283271,0.242045163095475,0.209936288302803,NaN
0.85941,0.318147070272213,0.307647930502356,0.283543270294529,0.279046370100928,0.279775494769593,0.293683003608293,0.299942824205181,0.300147720086683,0.310292260970905,0.315970052295124,0.313300281808147,0.306749685172765,0.315204286249829,0.309868471968316,0.301005793473816,0.293577858283254,0.285669142788134,0.26159791988415,0.23116289298076,NaN
