phase_(f*t)[-],z_mat_sin_01[mm],z_mat_sin_02[mm],z_mat_sin_03[mm],z_mat_sin_04[mm],z_mat_sin_05[mm],z_mat_sin_06[mm],z_mat_sin_07[mm],z_mat_sin_08[mm],z_mat_sin_09[mm],z_mat_sin_10[mm],z_mat_sin_11[mm],z_mat_sin_12[mm],z_mat_sin_13[mm],z_mat_sin_14[mm],z_mat_sin_15[mm]
0.20941,40.9411075604231,78.043670066329,117.126392513136,155.728223685041,195.368100860009,230.466234319818,269.132432980305,307.03952565138,344.228823279557,383.385965285813,421.664617180937,459.528605314807,498.082269263226,529.759624705648,555.087578038893
0.21941,40.9392419757107,78.0443954272047,117.127345427831,155.727955481576,195.369061357127,230.467206609603,269.133096138353,307.041492295682,344.238980440781,383.396905701973,421.675551115041,459.545019713425,498.102212376294,529.780032132188,555.109859218918
0.22941,40.9373800229418,78.0450741232935,117.128302725231,155.727979070694,195.369932000953,230.468019008089,269.133380410732,307.042715740841,344.247468571904,383.406158193849,421.684382503867,459.558945120899,498.11936415446,529.797330506548,555.128746973513
0.23941,40.9355290503932,78.0457034760918,117.129260627319,155.728294359299,195.370709355455,230.468668309111,269.13328467555,307.043191158479,344.254254174149,383.413686246085,421.691076493958,459.570326580008,498.133656907492,529.811451559947,555.14416676134
0.24941,40.9336963630081,78.0462810018318,117.130215353695,155.728900103092,195.371390352769,230.469151950174,269.13280931063,307.042916672339,344.259310467844,383.419460148896,421.695606667194,459.579119173333,498.145034228423,529.82233956304,555.156057727541
0.25941,40.9318891935662,78.0468044212831,117.131163136489,155.729793911478,195.37197230531,230.469468022568,269.13195619202,307.041893365693,344.262617498108,383.423457115326,421.69795514505,459.585288200525,498.153451216165,529.829951545852,555.164372943904
0.26941,40.9301146741397,78.0472716687484,117.132100235235,155.730972257004,195.372452916378,230.469615278899,269.13072868659,307.040125277065,344.264162213604,383.425661371174,421.698112659158,459.588809315251,498.158874652714,529.834257467365,555.16907959407
0.27941,40.9283798079462,78.0476809002152,117.133022951633,155.732430489278,195.37283028922,230.469593138014,269.129131638742,307.037619384293,344.263938518045,383.42606421725,421.69607858788,459.589668621282,498.161283134242,529.835240334073,555.170159103041
0.28941,40.9266914417097,78.0480305006341,117.133927644143,155.734162853325,195.373102934518,230.469401687293,269.127171351294,307.03438557699,344.261947294255,383.424664063705,421.691860958767,459.587862727327,498.160667155573,529.83289626705,555.167607210489
0.29941,40.9250562386407,78.0483190902918,117.134810742357,155.736162512295,195.373269776265,230.469041682304,269.124855560606,307.030436617516,344.258196400685,383.421466436305,421.685476416874,459.583398760426,498.157029147694,529.827234517259,555.161433987566
0.30941,40.9234806521385,78.0485455302569,117.135668761089,155.738421574446,195.373330156013,230.468514543823,269.122193406046,307.025788090611,344.252700640399,383.416483954623,421.676950159072,459.576294337817,498.15038346816,529.818277429039,555.151663797164
0.31941,40.9219709003232,78.0487089268742,117.136498314132,155.740931124293,195.373283835471,230.467822352224,269.119195393921,307.020458341887,344.245481702651,383.40973628224,421.666315834604,459.56657749741,498.140756344432,529.806060351926,555.13833519776
0.32941,40.9205329414955,78.0488086352919,117.137296127619,155.74368125779,195.373130997446,230.466967839271,269.115873356016,307.014468405426,344.23656807729,383.401250049136,421.653615412291,459.554286587135,498.128185770369,529.79063150114,555.121500791248
0.33941,40.919172450622,78.0488442620066,117.138059052944,155.746661121415,195.372872245118,230.465954377337,269.112240402896,307.007841920773,344.225994942324,383.391058746594,421.638899014897,459.5394701136,498.112721356284,529.772051767308,555.101227015338
0.34941,40.9178947969386,78.0488156664157,117.13878407919,155.749858955009,195.372508599665,230.464785966093,269.108310872168,307.000605039633,344.213804025086,383.379202595032,421.62222472132,459.522186550656,498.094424133155,529.750394476151,555.077593881363
0.35941,40.9167050227606,78.048722961373,117.139468345009,155.753262138183,195.37204149623,230.463467216724,269.104100271894,306.99278632267,344.200043437557,383.365728385261,421.603658337379,459.50250410863,498.073366311761,529.725745099102,555.050694658504
0.36941,40.9156078235833,78.048566512743,117.140109149917,155.756857240127,195.371472778256,230.462003333732,269.09962521939,306.98441662679,344.184767486489,383.350689293833,421.583273136109,459.48050046513,498.049630997703,529.698200915991,555.020635505706
0.37941,40.9146075295504,78.048346937957,117.14070396495,155.760630072618,195.370804690214,230.460400094394,269.094903375644,306.975528983357,344.168036459082,383.334144673171,421.561149568586,459.456262458483,498.023311863423,529.667870631126,554.987535052712
0.38941,40.9137080883656,78.0480651035762,117.141250442644,155.764565746008,195.370039868742,230.458663825962,269.089953375615,306.966158467839,344.149916385058,383.316159817333,421.537374946424,459.429885745029,497.994512778519,529.634873944284,554.951523931888
0.39941,40.9129130497122,78.0477221218724,117.141746426302,155.768648727993,195.36918133224,230.456801380696,269.084794754693,306.956342061381,344.13047877607,383.29680570433,421.512043097194,459.401474421604,497.963347399822,529.599341078314,554.912744262675
0.40941,40.9122255512447,78.0473193464375,117.142189958502,155.772862904909,195.36823246896,230.454820108816,269.079447871598,306.946118504854,344.109800343481,383.276158716003,421.485253994134,459.371140614724,497.929938722844,529.561412265204,554.871349090712
0.41941,40.9116483062054,78.0468583668421,117.142579288826,155.777191645324,195.367197023632,230.452727829497,269.073933828033,306.935528145965,344.087962695617,383.254300336583,421.457113361593,459.339004038064,497.894418596371,529.521237192651,554.827501783829
0.42941,40.9111835927167,78.0463410023622,117.142912880765,155.781617865677,195.366079082685,230.45053280001,269.068274385411,306.924612780022,344.065052015698,383.231316831106,421.427732257793,459.305191520012,497.856927202113,529.478974413313,554.781375387317
0.43941,40.9108332447906,78.045769294799,117.143189417784,155.786124097699,195.364883058123,230.448243683132,269.062491878966,306.913415484988,344.041158721711,383.207298904969,421.397226636527,459.269836503129,497.817612501475,529.434790719071,554.733151940988
