phase_(f*t)[-],d_mat_sin_01[mm],d_mat_sin_02[mm],d_mat_sin_03[mm],d_mat_sin_04[mm],d_mat_sin_05[mm],d_mat_sin_06[mm],d_mat_sin_07[mm],d_mat_sin_08[mm],d_mat_sin_09[mm],d_mat_sin_10[mm],d_mat_sin_11[mm],d_mat_sin_12[mm],d_mat_sin_13[mm],d_mat_sin_14[mm]
0.23565,0.982378558669406,3.75224503384094,7.74292083984939,12.7767125532975,18.7500145742092,24.6940424655785,31.7124137727893,38.5565883919807,47.4113085638253,55.6334337216956,64.0873708506264,72.3400837956015,80.7444877150307,87.6493067398597
0.24565,1.01494963095054,3.8547316695578,7.94927086331892,13.1174103146976,19.2582923525606,25.3766377208316,32.6003271253531,39.7464326561173,48.8008990914808,57.2839686363924,65.9855503157116,74.508757600811,83.1770410726913,90.3031237349056
0.25565,1.04723268329334,3.95608515443557,8.15345821921753,13.4544847491122,19.7613642188912,26.0522461899213,33.4790479719769,40.9233913249209,50.1774759868492,58.9187564727562,67.8644055767778,76.6549490158041,85.5845344901453,92.9296060483606
0.26565,1.07910030923893,4.05590549257346,8.35467707333583,13.7866055777433,20.2572447783762,26.7182015548761,34.3451084029284,42.0828194802273,51.5356065298229,60.5313454700605,69.716521650477,78.7701880035674,87.9574666907533,95.518388154459
0.27565,1.11042674182664,4.15379873870039,8.55213330678476,14.1124620714119,20.7439770169936,27.3718755941166,35.1950904733521,43.2201413887995,52.8699307996193,62.1153714762546,71.5345890808177,80.8461266821771,90.2864727952089,98.0592533129301
0.28565,1.14108834993873,4.24937855289708,8.74504765002006,14.4307682234071,21.2196400249645,28.0106885548454,36.0256396923359,44.3308685606577,54.1751828279405,63.6645830643649,73.3114327862483,82.8745722700747,92.5623612804396,100.542173889804
0.29565,1.17096412621594,4.34226772530316,8.93265875826317,14.7402678247672,21.6823565777062,28.6321193341521,36.8334782615542,45.4106174630973,55.4462113813436,65.1728662040204,75.040040376426,84.8475194192335,94.7761502543487,102.957350931903
0.30565,1.19993616461824,4.43209966479217,9.11422621618122,15.0397394219626,22.1303005443799,29.2337154286557,37.6154180112407,46.4551268204907,56.678000290806,66.634268390738,76.7135898269183,86.7571818086096,96.9191029032402,105.295252838831
0.31565,1.22789012574614,4.51851984573925,9.28903345996807,15.3280011374147,22.5617040947955,29.8131026134143,38.3683729824378,47.4602744315954,57.8656882482528,68.0430221377379,78.325476402616,88.5960228731938,98.9827619720309,107.546652979847
0.32565,1.25471568808599,4.60118720717183,9.45639060529435,15.6039153338269,22.9748646762289,30.3679943119064,39.0893716058663,48.4220934379985,59.0045879919191,69.393567737579,79.8693387236058,90.3567855473909,100.958983141172,109.702666107161
0.33565,1.28030698339869,4.67977549878146,9.61563716996565,15.8663931039191,23.3681517326204,30.8962006201039,39.7755684293528,49.336787979495,60.0902048048304,70.6805752037843,81.3390838706302,92.0325209053417,102.839967168559,111.754783421949
0.34565,1.30456301453319,4.75397456848473,9.76614468054406,16.1143985678476,23.7400131396341,31.395636949023,40.4242553475283,50.2007481746139,61.1182542533973,71.8989653058625,82.7289114310568,93.616615585159,104.618290669576,113.694906154692
0.35565,1.32738805401612,4.82349158645186,9.90731915264565,16.346952961349,24.0889813301839,31.8643322516441,41.0328722894837,51.0105643671709,62.0846790961174,73.0439296147102,84.0333363904563,95.1028178888457,106.286935413802,115.515377527322
0.36565,1.34869202184442,4.88805220077223,10.0386034351255,16.5631384984762,24.4136790862501,32.3004368017343,41.5990173221996,51.7630405826237,62.985665295654,74.1109494792849,85.247210779449,96.4852624548903,107.839316022764,117.209012971026
0.37565,1.36839084098991,4.94740162019606,10.1594794088988,16.7621019936799,24.7128249741298,32.7022294938717,42.1204561298792,52.4552071411238,63.8176570710989,75.0958138596559,86.3657439903881,97.7584934061695,109.269305959413,118.769128480455
0.38565,1.38640676921298,5.00130561967905,10.26947003172,16.9430582289425,24.9852384016702,33.0681246358619,42.5951308317711,53.0843323774855,64.5773709310155,75.9946359460558,87.3845216836992,98.9174858818025,110.57126170677,120.189566992443
0.39565,1.40266870587561,5.04955146476165,10.3681412208508,17.1052930526742,25.2298442775268,33.3966782067412,43.0211681036852,53.6479334218208,65.2618086318788,76.8038684983423,88.2995232092619,99.9576658679812,111.740045040306,121.46472268512
0.40565,1.41711247254318,5.09194875113473,10.4551035661863,17.2481661981439,25.4456772540572,33.6865935556671,43.3968865711472,54.1437859982926,65.8682690107733,77.5203178453347,89.1071374740795,100.874928249513,112.771043306171,122.58956310153
0.41565,1.42968106626737,5.12833015607846,10.5300138670787,17.371113810319,25.6318855371079,33.9367265192071,43.7208034450155,54.5699332033151,66.394358645649,78.1411564887749,89.8041771936125,101.665653010836,113.660187625227,123.559649010439
0.42565,1.4403248845508,5.15855209880862,10.5925764867936,17.4736506711436,25.7877342476562,34.146089936829,43.9916403733725,54.9246932285582,66.8380013010645,78.6639342621716,90.387891470535,102.326719522565,114.403968951059,124.371151925957
0.43565,1.44900192110541,5.18249530712433,10.6425445192533,17.5553721144727,25.912608322042,34.3138575467726,44.2083284865955,55.2066659982766,67.19744612214,79.0865880004876,90.8559766512698,102.855518857189,114.999451918575,125.020869216814
0.44565,1.45567793163207,5.20006528812099,10.6797207634617,17.6159556231044,26.0060149393431,34.439367246927,44.3700126156971,55.4147386947694,67.4712745443813,79.4074496825098,91.2065854174562,103.249964085322,115.444286428552,125.506236745693
0.45565,1.46032656896721,5.21119270111056,10.7039585017673,17.6551621016082,26.0675854663147,34.5221237078458,44.4760546672862,55.548090150163,67.6584058921061,79.6252530137671,91.438334076472,103.508498511853,115.736716922405,125.8253389887
0.46565,1.46292948706303,5.21583363127761,10.7151620788901,17.6728368199251,26.0970769122156,34.5618003275854,44.526036141831,55.6061940871853,67.7581016433773,79.7391384240159,91.550308022236,103.630101819512,115.875589310573,125.976916595066
0.47565,1.46347641339097,5.21396976299101,10.7132872794296,17.6689100240167,26.0943728877822,34.5582405206544,44.519759785286,55.5888211961421,67.7699683446112,79.7486564595712,91.5420653447403,103.6142940956,115.860355527186,125.960371357227
0.48565,1.46196518948268,5.20560845208735,10.6983415023628,17.6433972111525,26.0594840645635,34.5114583359844,44.4572503675631,55.4960400398975,67.6939591633593,79.6537695570951,91.4136385740672,103.461137725982,115.691075693027,125.775768571679
0.49565,1.45840177944851,5.19078269684087,10.6703837318437,17.5963990687492,25.9925481328057,34.4216384014854,44.3387545847761,55.3282167832874,67.5303740731349,79.4548521918419,91.165534552008,103.171237148878,115.368417878264,125.423836781279
0.50565,1.4528002464399,5.16955100773427,10.6295243044198,17.5281010770034,25.8938292580513,34.2891351954041,44.1647400856441,55.0860137480345,67.279858669554,79.1526893997756,90.7987324317898,102.745736469423,114.893655465884,124.905964900021
0.51565,1.44518269714854,5.14199717654463,10.5759244735843,17.4387727768862,25.7637170385986,34.1144716473601,43.9358936258956,54.770386798867,66.9434016224651,78.7484736793915,90.3146798138052,102.186314944405,114.26866212623,124.224196731628
0.52565,1.43557919456135,5.10822994565549,10.5097957733821,17.328766706388,25.6027249679351,33.8983370745811,43.6531183579573,54.382581571157,66.5223307741203,78.2438002854692,89.7152870325946,101.495180355009,113.495904422482,123.381222903591
0.53565,1.42402763931563,5.0683825789004,10.4313991835814,17.1985170092119,25.4114884082134,33.6415844614836,43.3175302666238,53.9241285549668,66.0183078987892,77.6406609333313,89.0029196176291,100.675060293709,112.578432076257,122.380370248489
