phase_(f*t)[-],d_mat_sin_01[mm],d_mat_sin_02[mm],d_mat_sin_03[mm],d_mat_sin_04[mm],d_mat_sin_05[mm],d_mat_sin_06[mm],d_mat_sin_07[mm],d_mat_sin_08[mm],d_mat_sin_09[mm],d_mat_sin_10[mm],d_mat_sin_11[mm],d_mat_sin_12[mm],d_mat_sin_13[mm],d_mat_sin_14[mm],d_mat_sin_15[mm]
0.10941,0.645549301621115,1.9410076842156,3.77575866969629,6.03810479682111,8.74123010808182,11.3115176185063,14.5151164748382,18.0192665915608,22.0244040012604,25.7377971196221,29.3074033143194,32.8241992288274,36.4594756446123,39.4335608139733,41.8157123623998
0.11941,0.646345827619834,1.93561663141329,3.75576808393394,5.9977794547094,8.68009615107274,11.2226248378993,14.3921124106408,17.8428746962938,21.786286294737,25.4474226691001,28.965048147058,32.4291623677442,36.009335968255,38.937379735933,41.281136001874
0.12941,0.647299628807723,1.93082317609914,3.73748243193983,5.96055728556048,8.62362054374966,11.1403551042798,14.2778845624674,17.6759239128303,21.5578201642423,25.1686891104271,28.6364866716662,32.050217621719,35.5775931179684,38.4615905889251,40.7684981118269
0.13941,0.648406940967245,1.92664623585137,3.72097387882846,5.92658518827078,8.57202616953343,11.0650330987009,14.1728837354489,17.5190731196399,21.3399072612169,24.9026964776181,28.323015570182,31.6888605125409,35.1659509855382,38.0080710953454,40.2798218398086
0.14941,0.649663394043189,1.92310229514486,3.70630757631693,5.89599723518795,8.52551664784785,10.9969560827073,14.0775243198793,17.3729413351452,21.1334075883343,24.6504945220742,28.0258719698316,31.3465171516316,34.7760341343998,37.5786110894417,39.8170357678097
0.15941,0.651064029389282,1.92020534029451,3.69354140560085,5.86891414298847,8.48427553052684,10.9363927251798,13.9921826558063,17.2381052747382,20.9391361054626,24.4130785696938,27.7462285606535,31.0245386118347,34.4093813882284,37.1749054536558,39.3819663010296
0.16941,0.652603319337704,1.91796680425763,3.68272574892372,5.84544279626419,8.44846557741918,10.8835820420217,13.917195547789,17.1150970747486,20.7578595133904,24.1913855927759,27.4851889674269,30.7241955953489,34.0674397579054,36.7985474296965,38.9763304598894
0.17941,0.654275189014261,1.91639552151326,3.67390329074126,5.82567582569758,8.41822811404979,10.8387324528725,13.8528589356845,17.0044021923448,20.5902932280093,23.9862905122187,27.2437833941687,30.4466734188465,33.7515587308276,36.4510223307427,38.6017291037365
0.18941,0.656073040313146,1.91549769319654,3.66710884926531,5.8096912424908,8.3936824738724,10.8020209585708,13.7994267267081,16.9064574896558,20.4370985568939,23.7986027446059,27.0229645583886,30.1930673355703,33.4629849450965,36.133701679591,38.2596406129848
0.19941,0.657989777936642,1.91527686262566,3.66236923905229,5.7975521304911,8.37492552731495,10.7735924426126,13.7571097933778,16.8216495096765,20.2988800894232,23.62906300781,26.8236039311491,29.9643782128695,33.2028572696075,35.8478377958813,37.9514150546218
0.20941,0.660017837397024,1.915733901318,3.65970316517838,5.78930639722771,8.36203129947627,10.7535590993628,13.7260751412967,16.7503129507588,20.1761833107421,23.4783403977167,26.6464882977667,29.7615085822332,32.9722023094547,35.594558853764,37.6782688541115
0.21941,0.662149214870132,1.91686700555064,3.65912114941917,5.78498658484271,8.35505067798283,10.7419999912748,13.7064452500582,16.6927293457102,20.0694924489815,23.3470297476096,26.4923166527297,29.5852590774113,32.7719303543897,35.3748644295114,37.4412799947187
0.22941,0.664375498782816,1.91867170347883,3.66062548872494,5.78460974166205,8.35401121215852,10.7389607368673,13.6982975898749,16.6491259507124,19.9792285642301,23.2356492806344,26.361697441087,29.4363252746784,32.6028317863236,35.1896215566472,37.2413837632015
0.23941,0.666687903009562,1.92114087278435,3.66421024615572,5.7881773549136,8.35891700430006,10.744453330689,13.7016643158393,16.6196748484449,19.9057478868035,23.1446385646094,26.2551461571926,29.3152949477127,32.4655739600506,35.0395613041611,37.0793690586618
0.24941,0.669077301547327,1.924264768784,3.66986127431167,5.79567534485773,8.36974869348711,10.7584560959814,13.7165321410221,16.6044922689534,19.8493404113653,23.0743567772519,26.1730833102854,29.2226457479212,32.360698569504,34.9252758913138,36.955875279121
0.25941,0.671534264531693,1.92803106288744,3.67755627116635,5.80707412035366,8.38646353199099,10.7809137702271,13.7428423889098,16.6036381309429,19.810228752451,23.025081288668,26.1158327649312,29.158743319368,32.2886195099373,34.8472163504176,36.8713897981079
0.26941,0.674049095452241,1.9324248912525,3.68726486808268,5.82232869564209,8.40899555398039,10.8117377232459,13.780491224974,16.617115805306,19.7885672659099,22.9970065666991,26.0836204628772,29.1238398557444,32.2496212444687,34.8056907468186,36.8262460412183
0.27941,0.676611869420245,1.93742891344598,3.69894874966409,5.84137886788352,8.43725583585842,10.8508063069772,13.8293300664588,16.6448721018193,19.7844414397332,22.9902434094469,26.0765735313631,29.1180731050755,32.2438576814355,34.8008629631028,36.8206221702366
0.28941,0.679212472337672,1.9430233808784,3.71256180496781,5.86414945475131,8.47113284720342,10.8979653355699,13.8891661687692,16.686797479061,19.7978675566719,23.0048185080032,26.0947197814084,29.1414658260915,32.2713515669879,34.832752052327,36.8545403800121
0.29941,0.68184064081291,1.94918621474266,3.72805030948379,5.89055059114199,8.51049289092853,10.953028693883,13.959763386146,16.7427264767212,19.8287926299762,23.0406743411127,26.1379875980542,29.1939256984098,32.3319943953202,34.9012321628248,36.9278668108667
0.30941,0.684486002665683,1.95589309314905,3.74535313716072,5.92047808383174,8.55518063092307,11.0157790719973,14.0408431036249,16.8124383685975,19.8770946125101,23.0976694021831,26.2062062229955,29.2752456868808,32.4255468368942,35.0060330348856,37.0403120768773
0.31941,0.68713811786131,1.96311754711256,3.76440200164267,5.9538138226795,8.60501970509316,11.0859688228382,14.1320853366029,16.8956580337011,19.9425828784157,23.1755787577469,26.2991064284857,29.3851048586618,32.5516396829631,35.1467410673463,37.1914324079505
0.32941,0.689786519712749,1.97083106501395,3.78512172576414,5.99042624675368,8.65981342138236,11.163320939526,14.2331299936711,16.9920570420333,20.0249989754262,23.2740949351712,26.4163215798559,29.5230696497916,32.7097753026696,35.3228009498862,37.3806314011797
0.33941,0.692420756187832,1.97900320512204,3.80743053823994,6.03017086354309,8.71934553402535,11.2475301485947,14.3435782977308,17.1012549507487,20.1240176448589,23.3928291361113,26.557389082454,29.6885955762696,32.8993296069682,35.5335178545831,37.6071623745756
0.34941,0.695030431158661,1.9876017157333,3.83124039637917,6.07289081920285,8.78338109697115,11.3382641147679,14.4629943597849,17.2228208055893,20.239248105263,23.5313127709207,26.721752207295,29.8810293828857,33.1195545116189,35.7780601780815,37.8701313138782
0.35941,0.697605245430373,1.99659266245464,3.85645733354945,6.11841751758485,8.8516673911079,11.4351647525333,14.5909068991927,17.3562748416643,20.370235594655,23.68899930796,26.9087622882155,30.0996116213199,33.3695808895342,36.0554628235512,38.1685004008232
0.36941,0.700135037387357,2.00594056212693,3.88298183002027,6.16657128560977,8.92393492162966,11.5378496393434,14.7268111035986,17.5010903768626,20.5164631652568,23.8652664305075,27.1176812818627,30.3434796473377,33.6484220008267,36.364631009484,38.5010921089363
0.37941,0.702609823096512,2.01560852286081,3.91070920572198,6.21716208235456,8.99989848160937,11.6459135248622,14.8701706211967,17.6566958904267,20.6773537236523,24.0594184927594,27.347684680415,30.6116710252531,33.9549773870205,36.7043445902952,38.8665938506924
0.38941,0.705019835709266,2.02555838963213,3.93953003337009,6.26999024905721,9.07925827758023,11.7589299303033,15.0204196774657,17.822477278484,20.8522723083114,24.2706892652256,27.5978647655366,30.9031273262225,34.2880372140581,37.073262871682,39.2635631576985
0.39941,0.707355564006866,2.03575089486241,3.96933057032487,6.32484729707864,9.16170111268359,11.8764528315467,15.1769653080228,17.9977802776341,21.0405285954931,24.4982449586876,27.867234190728,31.2166983053798,34.6462870469628,37.4699299017304,39.6904333734579
0.40941,0.709607789936815,2.04614581339001,3.99999320748153,6.38151673071211,9.24690162271385,11.9980184193923,15.339189698783,18.1819130470278,21.241379623638,24.7411875147837,28.1547298779313,31.551146441327,35.0283130373128,37.8927802168927,40.1455198362474
0.41941,0.71176762499231,2.0567021212205,4.03139693341964,6.43977490159287,9.33452356018232,12.1231469300029,15.5064526241894,18.3741488987464,21.4540327254982,24.9985581502347,28.4592172130132,31.9051518200665,35.4326075030554,38.3401450201569,40.6270265277077
0.42941,0.713826545291123,2.06737815742959,4.06341781197991,6.49939189133608,9.42422112133248,12.2513445383129,15.6780939738904,18.5737291657075,21.6776486564326,25.2693411407241,28.7794945235693,32.2773173440981,35.8575748786388,38.8102587670261,41.1330531609071
0.43941,0.715776425215466,2.07813178857978,4.09592947138363,6.56013241891964,9.51564031086938,12.3821053069302,15.8534363578944,18.7798661957769,21.9113449065221,25.5524678294973,29.1142978213756,32.6661742461245,36.3015380119807,39.3012661333159,41.6616026799058
0.44941,0.717609569480093,2.08892057500177,4.12880360296427,6.62175676923087,9.60842033901737,12.51491318284,16.0317877799179,18.9917464602719,22.1541991834334,25.846820844862,29.4623057907726,33.0701878856055,36.7627447834213,39.8112293372714,42.2105891412238
0.45941,0.719318743502074,2.09970193828451,4.16191046754327,6.6840217391126,9.70219504539252,12.6492440340302,16.2124443683793,19.2085337645875,22.405253052285,26.1512385099438,29.822145003295,33.4877638052821,37.239375020539,40.3381357871068,42.7778459461062
0.46941,0.720897201952393,2.11043332931263,4.19511940745121,6.74668159717486,9.79659434407036,12.7845677180012,16.3946931542579,19.4293725482743,22.6635157181522,26.4645194272937,30.1923953379658,33.9172540237718,37.7295476815396,40.8799060237851,43.3611343910992
0.47941,0.722338715376675,2.12107239618846,4.228299362174,6.80948905358443,9.89124568414593,12.9203501739957,16.5778148848576,19.6533912615447,22.9279679362818,26.7854272202554,30.5715955858652,34.3569635393976,38.2313282788687,41.4344019276935,43.9581525031895
0.48941,0.72363759478,2.13157715137558,4.26131938558882,6.87219623600488,9.98577552002204,13.056055530693,16.761086862368,19.8797058048818,23.1975660345856,27.1126954123789,30.9582492168551,34.8051570195855,38.7427365137504,41.9994351568243,44.5665441246403
0.49941,0.724788714078764,2.14190613740442,4.29404916274868,6.93455566783536,10.0798107856231,13.1911482210483,16.9437857960229,20.1074230181764,23.4712460325371,27.4450324256245,31.3508302856991,35.2600656494292,39.2617540915218,42.5727757831613,45.1839082116694
0.50941,0.725787530330991,2.15201859048598,4.32635952417593,6.99632124488777,10.1729803667163,13.3250950959306,17.1251906565983,20.3356442056216,23.747927840217,27.7811266776312,31.7477894542717,35.7198941123948,39.78633268692,43.1521610931867,45.8078083102722
0.51941,0.726630101665249,2.16187460138791,4.35812295563522,7.05724920664748,10.2649165655303,13.4573675282192,17.3045855219855,20.563468682455,24.0265195209343,28.1196517579333,32.1475601060879,36.1828276756146,40.3144020278862,43.7353045177779,46.4357821717924
0.52941,0.727313102837417,2.17143527293795,4.38921410137391,7.11709909828477,10.3552565518901,13.5874434990535,17.4812624026086,20.7899973295496,24.3059216006017,28.4592716626962,32.5485645290229,36.6470393518088,40.8438780659834,44.3199046562508,47.0653514702924
0.53941,0.727833838353901,2.18066287353334,4.41951025884398,7.17563471962016,10.4436437951417,13.7148096580026,17.6545240355358,21.0143361418265,24.5850314068572,28.7986460673133,32.9492201418208,37.1106971095696,41.3726712011839,44.9036543589374,47.694031583374
0.54941,0.72819025310952,2.18952098605024,4.44889186295287,7.23262505729862,10.5297294712166,13.8389633490252,17.8236866362575,21.2355997564842,24.8627474208089,29.1364356160551,33.3479457398201,37.5719711035522,41.8986945285657,45.4842498324509,48.3193413978474
0.55941,0.728380940498063,2.19797465156541,4.47724295793235,7.28784519649373,10.6131738392799,13.9594145942233,17.9880825972718,21.4529149471213,25.1379736242259,29.471307207894,33.7431677352459,38.0290408960384,42.4198720743728,46.0593997317063,48.9388131015517
0.56941,0.728405147963524,2.2059905073232,4.50445165496292,7.34107720854379,10.693647582533,14.075688027561,18.147063122826,21.6654240699625,25.4096238250223,29.8019392576454,34.1333263674419,38.4801026413726,42.9341469889353,46.6268342028121,49.5500019226823
0.57941,0.728262779970097,2.213536918403,4.53041057374787,7.39211101101662,10.7708331078763,14.1873247709172,18.3000007894169,21.8722884485858,25.6766259439608,30.1270269116602,34.5168818585335,38.9233762049164,43.4394896641152,47.1843138411472,50.1504957781876
0.58941,0.727954398379209,2.22058410256793,4.55501726629426,7.44074519680899,10.8444257993039,14.2938842450679,18.4462920219451,22.0726916837963,25.9379262456595,30.4452871974865,34.892320490227,39.357112188427,43.9339057432428,47.7296385292672,50.7379247931596
0.59941,0.727481220232115,2.22710424780163,4.57817462122833,7.48678782900842,10.9141352200842,14.3949459084509,18.58535947575,22.2658428755802,26.1924934972044,30.7554640871755,35.2581605777648,39.7795988341325,44.4154439919308,48.2606561197632,51.3099706536469
0.60941,0.726845112946786,2.23307162206964,4.59979124704976,7.53005719838049,10.9796862589804,14.4901109168517,18.7166543151251,22.4509797444258,26.4393230379544,31.0563334542498,35.6129583174579,40.1891687802583,44.8822039987057,48.7752709288045,51.8643757559811
0.61941,0.726048586948067,2.23846267487195,4.61978183281211,7.5703825404922,11.0408202159894,14.5790036974587,18.8396583793225,22.6273716396928,26.6774407444777,31.3467079047719,35.9553134847194,40.5842056413415,45.3323436750631,49.2714520068448,52.3989521165069
0.62941,0.725094785760177,2.2432561301861,4.63806748480623,7.60760470964112,11.0972958233125,14.6612734310782,18.953886227496,22.7943224231564,26.9059068749725,31.6254414634448,36.2838749601111,40.9631503873667,45.7640865253497,49.7472411538527,52.911590006554
0.63941,0.723987473600655,2.24743307043388,4.65457603791759,7.64157680693081,11.1488901975287,14.7365954366571,19.0588870545144,22.9511732163467,27.1238197779978,31.8914340962539,36.5973460615954,41.3245074965448,46.1757286577798,50.2007606474324,53.4002662785723
