phase_(f*t)[-],z_mat_sin_01[mm],z_mat_sin_02[mm],z_mat_sin_03[mm],z_mat_sin_04[mm],z_mat_sin_05[mm],z_mat_sin_06[mm],z_mat_sin_07[mm],z_mat_sin_08[mm],z_mat_sin_09[mm],z_mat_sin_10[mm],z_mat_sin_11[mm],z_mat_sin_12[mm],z_mat_sin_13[mm],z_mat_sin_14[mm]
0.32565,40.7397716571213,77.7386146264046,116.586771503557,154.726183008482,193.789800444213,228.228435036066,265.949285139297,302.830311042516,338.285205056079,376.24708764185,413.107489944393,449.753943704724,486.941611063647,517.436080290216
0.33565,40.7428780137631,77.7342299922839,116.575147834153,154.702471613241,193.749087012323,228.164682927397,265.858262603567,302.697290338842,338.124877571392,376.040766032566,412.8572679924,449.465379732188,486.599415611417,517.062357029543
0.34565,40.7460501609096,77.730076866238,116.56425535001,154.680263717258,193.710791850879,228.104632464674,265.772521538881,302.571885382417,337.973790911319,375.846068368349,412.621124720432,449.193051485241,486.275990356348,516.709412213121
0.35565,40.7492755795453,77.726171638758,116.554137038787,154.659646964955,193.675066093385,228.04852063964,265.69240032605,302.454591089312,337.832541345882,375.663763031931,412.399992078098,448.93803371906,485.972611710163,516.378638752897
0.36565,40.7525415404164,77.7225297219927,116.544832832836,154.640702721232,193.642050733085,227.996568900032,265.618215166897,302.345870366516,337.701686322586,375.494569499188,412.194742774913,448.70133287226,485.690476969778,516.0713420606
0.37565,40.7558351542673,77.7191654889237,116.536379451607,154.623505750365,193.611876066524,227.948982275634,265.550258836352,302.246152285052,337.581742266425,375.339155499697,412.006186836107,448.483883094945,485.430699592119,515.788734895886
0.38565,40.7591434227091,77.7160922166419,116.528810256733,154.608123920942,193.584661179324,227.90594856911,265.488799527007,302.15583038663,337.473182541792,375.198134381511,411.835068405828,448.286542562044,485.194304799814,515.531932580123
0.39565,40.7624532895174,77.7133220339491,116.522155120369,154.594617938016,193.560513476212,227.86763761484,265.434079790678,302.075261130519,337.376435584324,375.072062690558,411.682062810342,448.110090086484,484.982225535109,515.301948594729
0.40565,40.7657516921602,77.7108658734907,116.516440307298,154.583041103531,193.539528257141,227.834200608659,265.386315581164,302.004762486765,337.291883210062,374.961437974205,411.547773892834,447.955222045571,484.795298777973,515.099690581425
0.41565,40.769025613349,77.7087334286099,116.511688371275,154.573439105964,193.521788341182,227.805769511153,265.345695401979,301.944612681306,337.2198591086,374.866696817668,411.432731630311,447.822549632711,484.634262242917,514.925956760186
